,0,bill_number,display_name,first_name,id,last_name,party,state
11268,,192,Baucus (D-MT),Max,S127,Baucus,D,MT
11269,,192,Bayh (D-IN),Evan,S264,Bayh,D,IN
11270,,192,Bennett (R-UT),Robert,S231,Bennett,R,UT
11271,,192,Biden (D-DE),Joseph,S010,Biden,D,DE
11272,,192,Bingaman (D-NM),Jeff,S167,Bingaman,D,NM
11273,,192,Bond (R-MO),Christopher,S200,Bond,R,MO
11274,,192,Boxer (D-CA),Barbara,S223,Boxer,D,CA
11275,,192,Breaux (D-LA),John,S179,Breaux,D,LA
11276,,192,Brownback (R-KS),Sam,S249,Brownback,R,KS
11277,,192,Bunning (R-KY),Jim,S265,Bunning,R,KY
11278,,192,Burns (R-MT),Conrad,S211,Burns,R,MT
11279,,192,Byrd (D-WV),Robert,S017,Byrd,D,WV
11280,,192,Campbell (R-CO),Ben,S225,Campbell,R,CO
11281,,192,Cantwell (D-WA),Maria,S275,Cantwell,D,WA
11282,,192,Carnahan (D-MO),Jean,S276,Carnahan,D,MO
11283,,192,Carper (D-DE),Thomas,S277,Carper,D,DE
11284,,192,Chafee (R-RI),Lincoln,S272,Chafee,R,RI
11285,,192,Cleland (D-GA),Max,S251,Cleland,D,GA
11286,,192,Clinton (D-NY),Hillary,S278,Clinton,D,NY
11287,,192,Cochran (R-MS),Thad,S136,Cochran,R,MS
11288,,192,Collins (R-ME),Susan,S252,Collins,R,ME
11289,,192,Conrad (D-ND),Kent,S201,Conrad,D,ND
11290,,192,Corzine (D-NJ),Jon,S279,Corzine,D,NJ
11291,,192,Craig (R-ID),Larry,S215,Craig,R,ID
11292,,192,Crapo (R-ID),Michael,S266,Crapo,R,ID
11293,,192,Daschle (D-SD),Thomas,S185,Daschle,D,SD
11294,,192,Dayton (D-MN),Mark,S280,Dayton,D,MN
11295,,192,DeWine (R-OH),Mike,S240,DeWine,R,OH
11296,,192,Dodd (D-CT),Christopher,S150,Dodd,D,CT
11297,,192,Domenici (R-NM),Pete,S027,Domenici,R,NM
11298,,192,Dorgan (D-ND),Byron,S222,Dorgan,D,ND
11299,,192,Durbin (D-IL),Richard,S253,Durbin,D,IL
11300,,192,Edwards (D-NC),John,S267,Edwards,D,NC
11301,,192,Ensign (R-NV),John,S281,Ensign,R,NV
11302,,192,Enzi (R-WY),Michael,S254,Enzi,R,WY
11303,,192,Feingold (D-WI),Russell,S230,Feingold,D,WI
11304,,192,Feinstein (D-CA),Dianne,S221,Feinstein,D,CA
11305,,192,Fitzgerald (R-IL),Peter,S268,Fitzgerald,R,IL
11306,,192,Frist (R-TN),Bill,S241,Frist,R,TN
11307,,192,Graham (D-FL),Bob,S199,Graham,D,FL
11308,,192,Gramm (R-TX),Phil,S171,Gramm,R,TX
11309,,192,Grassley (R-IA),Chuck,S153,Grassley,R,IA
11310,,192,Gregg (R-NH),Judd,S224,Gregg,R,NH
11311,,192,Hagel (R-NE),Chuck,S255,Hagel,R,NE
11312,,192,Harkin (D-IA),Tom,S172,Harkin,D,IA
11313,,192,Hatch (R-UT),Orrin,S118,Hatch,R,UT
11314,,192,Helms (R-NC),Jesse,S046,Helms,R,NC
11315,,192,Hollings (D-SC),Ernest,S047,Hollings,D,SC
11316,,192,Hutchinson (R-AR),Tim,S256,Hutchinson,R,AR
11317,,192,Hutchison (R-TX),Kay,S235,Hutchison,R,TX
11318,,192,Inouye (D-HI),Daniel,S051,Inouye,D,HI
11319,,192,Jeffords (I-VT),James,S204,Jeffords,I,VT
11320,,192,Johnson (D-SD),Tim,S257,Johnson,D,SD
11321,,192,Kennedy (D-MA),Edward,S055,Kennedy,D,MA
11322,,192,Kerry (D-MA),John,S173,Kerry,D,MA
11323,,192,Kohl (D-WI),Herb,S209,Kohl,D,WI
11324,,192,Kyl (R-AZ),Jon,S243,Kyl,R,AZ
11325,,192,Landrieu (D-LA),Mary,S258,Landrieu,D,LA
11326,,192,Leahy (D-VT),Patrick,S057,Leahy,D,VT
11327,,192,Levin (D-MI),Carl,S131,Levin,D,MI
11328,,192,Lieberman (D-CT),Joseph,S210,Lieberman,D,CT
11329,,192,Lincoln (D-AR),Blanche,S269,Lincoln,D,AR
11330,,192,Lott (R-MS),Trent,S203,Lott,R,MS
11331,,192,Lugar (R-IN),Richard,S105,Lugar,R,IN
11332,,192,McCain (R-AZ),John,S197,McCain,R,AZ
11333,,192,Mikulski (D-MD),Barbara,S182,Mikulski,D,MD
11334,,192,Miller (D-GA),Zell,S273,Miller,D,GA
11335,,192,Murkowski (R-AK),Frank,S157,Murkowski,R,AK
11336,,192,Murray (D-WA),Patty,S229,Murray,D,WA
11337,,192,Nelson (D-FL),Bill,S282,Nelson,D,FL
11338,,192,Nelson (D-NE),E.,S283,Nelson,D,NE
11339,,192,Nickles (R-OK),Don,S158,Nickles,R,OK
11340,,192,Reed (D-RI),Jack,S259,Reed,D,RI
11341,,192,Reid (D-NV),Harry,S198,Reid,D,NV
11342,,192,Roberts (R-KS),Pat,S260,Roberts,R,KS
11343,,192,Rockefeller (D-WV),John,S176,Rockefeller,D,WV
11344,,192,Santorum (R-PA),Rick,S244,Santorum,R,PA
11345,,192,Sarbanes (D-MD),Paul,S106,Sarbanes,D,MD
11346,,192,Schumer (D-NY),Charles,S270,Schumer,D,NY
11347,,192,Sessions (R-AL),Jeff,S261,Sessions,R,AL
11348,,192,Shelby (R-AL),Richard,S184,Shelby,R,AL
11349,,192,Smith (R-NH),Bob,S216,Smith,R,NH
11350,,192,Smith (R-OR),Gordon,S262,Smith,R,OR
11351,,192,Snowe (R-ME),Olympia,S245,Snowe,R,ME
11352,,192,Specter (R-PA),Arlen,S161,Specter,R,PA
11353,,192,Stabenow (D-MI),Debbie,S284,Stabenow,D,MI
